date,time,flight_no,airline,status,destination,terminal,aisle,gate,status_time,cal_time,delta
2023-09-01,00:05,CX 315,CPA,Dep 00:48,MAD,T1,A,49,2023-09-01 00:48:00,2023-09-01 00:05:00,43.0
2023-09-01,00:05,CX 880,CPA,Dep 00:38,LAX,T1,A,41,2023-09-01 00:38:00,2023-09-01 00:05:00,33.0
2023-09-01,00:20,CX 105,CPA,Dep 00:40,MEL,T1,A,66,2023-09-01 00:40:00,2023-09-01 00:20:00,20.0
2023-09-01,00:25,ET 645,ETH,Dep 01:13,ADD,T1,D,40,2023-09-01 01:13:00,2023-09-01 00:25:00,48.0
2023-09-01,00:25,QR 815,QTR,Dep 00:22,DOH,T1,E,5,2023-09-01 00:22:00,2023-09-01 00:25:00,-3.0
2023-09-01,00:30,OZ 746,AAR,Dep 01:09,ICN,T1,E,8,2023-09-01 01:09:00,2023-09-01 00:30:00,39.0
2023-09-01,00:35,EK 381,UAE,Dep 00:45,DXB,T1,G,62,2023-09-01 00:45:00,2023-09-01 00:35:00,10.0
2023-09-01,00:40,CX 749,CPA,Dep 01:06,JNB,T1,BC,25,2023-09-01 01:06:00,2023-09-01 00:40:00,26.0
2023-09-01,00:45,CX 888,CPA,Dep 01:00,YVR,T1,BC,31,2023-09-01 01:00:00,2023-09-01 00:45:00,15.0
2023-09-01,00:45,KE 178,KAL,Dep 00:48,ICN,T1,G,33,2023-09-01 00:48:00,2023-09-01 00:45:00,3.0
2023-09-01,00:50,CX 872,CPA,Dep 01:25,SFO,T1,A,3,2023-09-01 01:25:00,2023-09-01 00:50:00,35.0
2023-09-01,00:50,MM 068,APJ,Dep 01:43,KIX,T1,J,28,2023-09-01 01:43:00,2023-09-01 00:50:00,53.0
2023-09-01,01:20,CX 524,CPA,Dep 01:43,NRT,T1,BC,64,2023-09-01 01:43:00,2023-09-01 01:20:00,23.0
2023-09-01,01:50,CX 566,CPA,Dep 01:55,KIX,T1,BC,7,2023-09-01 01:55:00,2023-09-01 01:50:00,5.0
2023-09-01,01:55,HX 707,CRK,Dep 02:01,DPS,T1,K,36,2023-09-01 02:01:00,2023-09-01 01:55:00,6.0
2023-09-01,02:00,CX 844,CPA,Dep 02:15,JFK,T1,BC,9,2023-09-01 02:15:00,2023-09-01 02:00:00,15.0
2023-09-01,02:55,HX 606,CRK,Dep 02:52,NRT,T1,K,21,2023-09-01 02:52:00,2023-09-01 02:55:00,-3.0
2023-09-01,03:20,HX 616,CRK,Dep 03:12,KIX,T1,K,17,2023-09-01 03:12:00,2023-09-01 03:20:00,-8.0
